x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Zora Singh Maan,"357,102",41.2%,Shiromani Akali Dal, AC View
2,2,Jagmeet Singh Brar,"345,563",39.8%,Indian National Congress, AC View
3,3,Mohan Singh Falian Wala,"101,921",11.7%,Bahujan Samaj Party, AC View
4,4,Inderjit Singh Zira,"27,941",3.2%,Independent, AC View
5,5,Vardev Singh,"8,697",1.0%,Independent, AC View
6,6,Dhian Singh Mand,"7,548",0.9%,Shiromani Akali Dal (SIMRANJIT SINGH MANN), AC View
7,7,Mahinderjit Singh,"5,495",0.6%,Independent, AC View
8,8,Paramjit Singh Desal,"2,486",0.3%,Independent, AC View
9,9,Anoop Singh,"2,443",0.3%,Lok Jan Shakti Party, AC View
10,10,Nardev Singh,"1,819",0.2%,Independent, AC View
11,11,Ajay Daniel ( TINKU ),"1,126",0.1%,Independent, AC View
12,12,Ashok Kumar,"1,112",0.1%,Independent, AC View
13,13,Des Raj Deora,995,0.1%,Independent, AC View
14,14,Mathra Dass,878,0.1%,Proutist Sarva Samaj Party, AC View
15,15,Gursewak Singh,772,0.1%,Independent, AC View
16,16,Som Parkash,742,0.1%,Bharatiya Gaon Taj Dal, AC View
