x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,C. H. Vijayashankar,"316,442",33.1%,Bharatiya Janta Party, AC View
2,2,A S Guruswamy,"306,292",32.0%,Janata Dal (Secular), AC View
3,3,Srikantadatta Narasimharaja Wadiyar,"299,227",31.3%,Indian National Congress, AC View
4,4,P N Srinath,"18,957",2.0%,Independent, AC View
5,5,Kalimulla Khan,"16,349",1.7%,Kannada Nadu Party, AC View
