x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Nikhilananda Sar,"673,091",67.7%,Communist Party Of India (MARXIST), AC View
2,2,Anindya Gopal Mitra,"201,740",20.3%,Bharatiya Janta Party, AC View
3,3,Champak Garai,"88,217",8.9%,Indian National Congress, AC View
4,4,Shanti Murmu,"21,560",2.2%,Jharkhand Disom Party, AC View
5,5,Dinesh Chandra Sikdar,"12,416",1.2%,Bahujan Samaj Party, AC View
