x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Abdul Rashid Shaheen,"127,653",38.2%,Jammu & Kashmir National Conference, AC View
2,2,Nizam-Uddin Bhat,"117,758",35.2%,Jammu & Kashmir Peoples Democratic Party, AC View
3,3,Ghulam Rasool Kar,"62,316",18.7%,Indian National Congress, AC View
4,4,Mir Khursheed Abbasi,"10,569",3.2%,Independent, AC View
5,5,Mohmad Akbar,"9,003",2.7%,Bharatiya Janta Party, AC View
6,6,Syed Mohd Rafiq Shah,"7,471",2.2%,J & K National Panthers Party, AC View
