x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kirti Vardhan Singh  Alias Raja Bhaiya,"251,947",41.5%,Samajwadi Party, AC View
2,2,Ghan Shyam Shukla,"214,949",35.4%,Bharatiya Janta Party, AC View
3,3,Fazlul Bari Alias Banne Bhai,"69,543",11.5%,Bahujan Samaj Party, AC View
4,4,Vinay Kumar Pandey Alias Binnoo,"28,804",4.7%,Indian National Congress, AC View
5,5,Shri Kant,"16,874",2.8%,Independent, AC View
6,6,Suresh Chandra Tripathi Advocate,"6,002",1.0%,Communist Party Of India, AC View
7,7,Ram Daul,"4,460",0.7%,Apna Dal, AC View
8,8,Sanjeev Kumar,"4,050",0.7%,Independent, AC View
9,9,Sanyaj Kumar Alias Sanjay Kumar,"2,791",0.5%,Independent, AC View
10,10,Ghan Shyam Shukla,"1,660",0.3%,Independent, AC View
11,11,Ram Hausila,"1,624",0.3%,Independent, AC View
12,12,Ram Kripal Rahul,"1,030",0.2%,Nidaya Malik (N) Party, AC View
13,13,Chandra Kishor,995,0.2%,Bahujan Vikas Party, AC View
14,14,Youraj,993,0.2%,Independent, AC View
15,15,Nitya Nand Shukla,932,0.2%,Independent, AC View
