x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Umakant Yadav,"237,438",35.1%,Bahujan Samaj Party, AC View
2,2,Chandra Nath Singh,"182,056",26.9%,Samajwadi Party, AC View
3,3,Keshari Nath Tripathi,"170,939",25.3%,Bharatiya Janta Party, AC View
4,4,Safdar Raza Khan,"29,746",4.4%,Apna Dal, AC View
5,5,Deovrat Mishra,"18,087",2.7%,Indian National Congress, AC View
6,6,Vijay Kumar,"11,492",1.7%,Independent, AC View
7,7,Sitaram Patel,"6,681",1.0%,Communist Party Of India, AC View
8,8,Anil Kumar Alias Awadheshanand,"4,312",0.6%,Independent, AC View
9,9,Jagannath Verma (PATRAKAR),"3,401",0.5%,Independent, AC View
10,10,Mathura Prasad,"3,202",0.5%,Independent, AC View
11,11,Rekha Gupta,"3,121",0.5%,Suheldev Bhartiya Samaj Party, AC View
12,12,Choudhari Ram Pravesh Nishad,"2,612",0.4%,Pragtisheel Manav Samaj Party, AC View
13,13,Mujmmis Husen,"1,646",0.2%,Navbharat Nirman Party, AC View
14,14,Ashok Kumar,"1,638",0.2%,Independent, AC View
