x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rajagopal Lagadapati,"519,624",55.1%,Indian National Congress, AC View
2,2,Aswini Dutt Chalasani,"405,037",42.9%,Telugu Desam, AC View
3,3,Nandeti Prabhakar Rao,"6,472",0.7%,Bahujan Samaj Party, AC View
4,4,Koneru Vara Lakshmi,"5,105",0.5%,Pyramid Party Of India, AC View
5,5,Someswara Rao Madala,"3,039",0.3%,Independent, AC View
6,6,Syed Moinuddin,"1,443",0.2%,Independent, AC View
7,7,Ramachandra Rao. J,"1,268",0.1%,Telangana Rashtra Samithi, AC View
8,8,Domakonda Ravi Kumar,"1,005",0.1%,Independent, AC View
9,9,Jakka Taraka Mallikarjuna Rao,637,0.1%,Independent, AC View
10,10,Apparao Damalapati,549,0.1%,Independent, AC View
11,11,Gatla Venkata Narayana Reddy,493,0.1%,Independent, AC View
12,12,Donepudi Srinivas,482,0.1%,Independent, AC View
13,13,Gottumukkala Siva Prasadaraju,396,0.0%,Independent, AC View
