x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Madhusudhan Reddy Takkala,"415,429",50.0%,Telangana Rashtra Samithi, AC View
2,2,Dr S Venugopala Chary,"374,455",45.1%,Telugu Desam, AC View
3,3,Mothe Barik Rao,"23,282",2.8%,Peoples Republican Party, AC View
4,4,Nainala Goverdhan,"18,171",2.2%,Independent, AC View
