x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Annayyagari Sai Prathap,"369,797",53.7%,Indian National Congress, AC View
2,2,Gunipati Ramaiah,"291,712",42.3%,Telugu Desam, AC View
3,3,Haji Md. Azam Shaik,"11,919",1.7%,Independent, AC View
4,4,Ashoka Rao Peechara,"11,247",1.6%,Telangana Rashtra Samithi, AC View
5,5,Mukka Narasimha Reddy,"6,654",1.0%,Jharkhand Party, AC View
