x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Chalapathirao Pappala,"385,406",49.3%,Telugu Desam, AC View
2,2,Nanda Gopal Gandham,"369,992",47.3%,Indian National Congress, AC View
3,3,Sadaram Appala Raju,"26,708",3.4%,Bahujan Samaj Party, AC View
