x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kailash Baitha,"237,989",41.7%,Janata Dal (United), AC View
2,2,Hiralal Ram,"172,614",30.2%,Lok Jan Shakti Party, AC View
3,3,Purnamasi Ram,"88,458",15.5%,Bahujan Samaj Party, AC View
4,4,Nandji Ram,"23,338",4.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Mahendra Baitha,"12,889",2.3%,Samata Party, AC View
6,6,Rishijee Janapremi,"9,737",1.7%,Independent, AC View
7,7,Tarkeshwar Prasad Chaurasia,"7,696",1.3%,Akhil Bharatiya Desh Bhakt Morcha, AC View
8,8,Asesar Manjhi,"7,224",1.3%,Independent, AC View
9,9,Sohan Ram,"4,613",0.8%,Jharkhand Party, AC View
10,10,Shailendra Paswan,"3,514",0.6%,Apna Dal, AC View
11,11,Surendra Kumar Swatantra,"2,750",0.5%,Samajwadi Party, AC View
