x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mohan Rawale,"128,536",36.9%,Shiv Sena, AC View
2,2,Ahir Sachin,"106,348",30.6%,Nationalist Congress Party, AC View
3,3,Arun Gulab Gawli Alies Dady,"92,210",26.5%,Akhil Bharatiya Sena, AC View
4,4,T. K. Choudhary,"10,104",2.9%,Samajwadi Party, AC View
5,5,Abdul Malik Choudhry,"4,690",1.3%,Bahujan Samaj Party, AC View
6,6,Pukhraj Chunnilal Jain,"2,677",0.8%,Independent, AC View
7,7,Ansari Husain Ahmed,"1,921",0.6%,Muslim League Kerala State Committee, AC View
8,8,Yashwant ( PRAKASH) SHINDE,"1,486",0.4%,Akhil Bharatiya Jan Sangh, AC View
