x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Palanisamy, K. C.","450,407",60.6%,Dravida Munetra Kazhagam, AC View
2,2,"Palanichamy,  Raja. N","259,531",34.9%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Jawahar. N,"14,552",2.0%,Independent, AC View
4,4,Nagarajan. H,"5,672",0.8%,Jharkhand Party, AC View
5,5,Rathinasamy. C,"5,578",0.8%,Independent, AC View
6,6,Murugesan. R,"1,243",0.2%,Independent, AC View
7,7,Arumugam. P,"1,162",0.2%,Independent, AC View
8,8,Palanisamy. K,946,0.1%,Independent, AC View
9,9,Manivasagam. R,876,0.1%,Independent, AC View
10,10,Selvakumar. L K,776,0.1%,Independent, AC View
11,11,Sakthivel. A. K,756,0.1%,Independent, AC View
12,12,Chandramohan. R,728,0.1%,Independent, AC View
13,13,Senthilkumar. K,689,0.1%,Independent, AC View
14,14,Sakthevel. P,676,0.1%,Independent, AC View
