x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Braja Kishore Tripathy,"462,248",52.0%,Biju Janata Dal, AC View
2,2,Pinaki Misra,"401,288",45.1%,Indian National Congress, AC View
3,3,Kshitish Biswal,"25,419",2.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
