x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Yerrannaidu Kinjarapu,"361,906",50.1%,Telugu Desam, AC View
2,2,Killi Kruparani,"330,027",45.6%,Indian National Congress, AC View
3,3,Dunga Rangarao Naidu,"13,848",1.9%,Independent, AC View
4,4,Mylapalli Lakshmudu,"13,011",1.8%,Bahujan Samaj Party, AC View
5,5,Tammineni Jaganmohan Rao,"4,982",0.7%,Independent, AC View
