x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sugavanam. E. G,"403,297",54.7%,Dravida Munetra Kazhagam, AC View
2,2,Nanje Gowdu. K,"284,075",38.5%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Sanaulla Shariff. H,"14,055",1.9%,Bahujan Samaj Party, AC View
4,4,Syed Nikhar. A,"11,830",1.6%,Independent, AC View
5,5,Ameerjan. S,"8,679",1.2%,Independent, AC View
6,6,Kuppusamy. P. K,"6,277",0.9%,Independent, AC View
7,7,Krishnamoorthy Rao. V. M,"6,253",0.8%,Independent, AC View
8,8,Krishnachetty. T. V,"4,271",0.6%,Independent, AC View
