x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Anwar Hussain,"376,588",43.6%,Indian National Congress, AC View
2,2,Afzalur Rahman,"259,966",30.1%,Asom Gana Parisad, AC View
3,3,Jabeen Borbhuyan,"90,215",10.4%,Bharatiya Janta Party, AC View
4,4,Dr. Motiur Rahman Mondal,"47,230",5.5%,Independent, AC View
5,5,Listi Rabha,"23,835",2.8%,Independent, AC View
6,6,Dr. Joyasree Goswami Mahanta,"22,311",2.6%,Independent, AC View
7,7,Shajahan Sheikh,"15,094",1.7%,Independent, AC View
8,8,Radhaballav Adhikary,"12,572",1.5%,Independent, AC View
9,9,Minhar Ali Mandal,"7,562",0.9%,Independent, AC View
10,10,Gandhi Nath,"4,686",0.5%,Independent, AC View
11,11,Mohor Uddin Mondal,"3,533",0.4%,Muslim League Kerala State Committee, AC View
