x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kailash Joshi,"561,563",65.5%,Bharatiya Janta Party, AC View
2,2,Sajid Ali,"255,558",29.8%,Indian National Congress, AC View
3,3,G. S. Chawala,"16,712",1.9%,Bahujan Samaj Party, AC View
4,4,Brij Basi Lal Sharma,"7,965",0.9%,Independent, AC View
5,5,Archana Shrivastava,"4,317",0.5%,Savarn Samaj Party, AC View
6,6,Pramod Gupta,"3,965",0.5%,Samajwadi Party, AC View
7,7,Altaf Ahmed,"2,454",0.3%,Independent, AC View
8,8,Revti Singh Maravi,"2,275",0.3%,Gondvana Gantantra Party, AC View
9,9,Upendra Tiwari,"2,043",0.2%,Rashtriya Garima Party, AC View
10,10,Anil Kumar Bharti,"1,611",0.2%,Akhil Bharat Hindu Mahasabha, AC View
