x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Arun Kumar Sarmah,"300,865",37.6%,Asom Gana Parisad, AC View
2,2,Ranee Narah,"272,717",34.1%,Indian National Congress, AC View
3,3,Uday Shankar Hazarika,"169,123",21.1%,Bharatiya Janta Party, AC View
4,4,Hekjel Wood,"19,710",2.5%,Independent, AC View
5,5,Puspa Gogoi,"11,757",1.5%,Revolutionary Socialist Party, AC View
6,6,Padmeshwar Phukan,"7,888",1.0%,Samata Party, AC View
7,7,Rabin Deka,"4,905",0.6%,Independent, AC View
8,8,Biju Narah,"4,456",0.6%,Independent, AC View
9,9,Sunmoni Das,"2,948",0.4%,Lok Jan Shakti Party, AC View
10,10,Ghanashyam Bhattarai,"2,886",0.4%,Independent, AC View
11,11,Isak Korkoria,"2,765",0.3%,Independent, AC View
