x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Bhartruhari Mahtab,"496,750",60.6%,Biju Janata Dal, AC View
2,2,Jayanti Patnaik,"323,552",39.5%,Indian National Congress, AC View
