x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,"Moorthy, A.K.","431,643",57.0%,Pattali Makkal Katchi, AC View
2,2,Ramachandran. K N,"282,919",37.4%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Kumaresan. A,"10,956",1.4%,Jharkhand Party, AC View
4,4,Nahamani.  ( TMT) J,"8,659",1.1%,Bahujan Samaj Party, AC View
5,5,Shayeen Banu ( TMT) S,"6,520",0.9%,Independent, AC View
6,6,Moorthy. N,"5,427",0.7%,Independent, AC View
7,7,Sowmiya Narayanan. S,"4,800",0.6%,Independent, AC View
8,8,Manivannan. R S,"3,578",0.5%,Independent, AC View
9,9,Krishnamoorthy. A,"1,792",0.2%,Independent, AC View
10,10,Subramaniyam. M,973,0.1%,Independent, AC View
11,11,Shankar. K,956,0.1%,Independent, AC View
12,12,Chanakhya Babu. K,853,0.1%,Independent, AC View
