x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Badiga Ramakrishna,"387,127",51.5%,Indian National Congress, AC View
2,2,Ambati Brahmanaiah,"336,786",44.8%,Telugu Desam, AC View
3,3,Yenduri Subrahmanyeswara Rao (MANI),"18,477",2.5%,Independent, AC View
4,4,Adapala Sivannarayana,"6,201",0.8%,Pyramid Party Of India, AC View
5,5,Dodda Kameswara Rao,"4,297",0.6%,Independent, AC View
6,6,B.S.Rao,"2,426",0.3%,Telangana Rashtra Samithi, AC View
