x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dharavath  Ravinder Naik,"427,601",46.4%,Telangana Rashtra Samithi, AC View
2,2,Bodakunti Venkateshwarlu,"408,339",44.3%,Telugu Desam, AC View
3,3,Kondal Rao Ravulapelli,"19,080",2.1%,Pyramid Party Of India, AC View
4,4,Nallani Swami Rao,"16,424",1.8%,Independent, AC View
5,5,Mamidala Elia,"14,376",1.6%,Bahujan Samaj Party, AC View
6,6,Gade Jhansi,"9,619",1.0%,Independent, AC View
7,7,Upendar Reddy Vallepu,"7,080",0.8%,Marxist Communist Party Of India (S.S.SRIVASTAVA), AC View
8,8,Mumjala Bikshapathi,"6,930",0.8%,Independent, AC View
9,9,Indira Kallepelli,"6,829",0.7%,Independent, AC View
10,10,Bellaiah Tejavath,"5,594",0.6%,Independent, AC View
