x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Manvendra Singh,"631,851",60.4%,Bharatiya Janta Party, AC View
2,2,Col. Sona Ram Choudhary,"359,963",34.4%,Indian National Congress, AC View
3,3,Arjun Ram,"20,495",2.0%,Independent, AC View
4,4,Sharvan Kumar,"19,636",1.9%,Bahujan Samaj Party, AC View
5,5,Hastimal Doshi,"16,753",1.6%,Indian National Lok Dal, AC View
