x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,K.H. Muniyappa,"385,582",42.5%,Indian National Congress, AC View
2,2,Veeraiah D S,"373,947",41.2%,Bharatiya Janta Party, AC View
3,3,Gangadharappa S L,"83,433",9.2%,Janata Dal (Secular), AC View
4,4,Balaji Channaiah,"27,704",3.1%,Jharkhand Party, AC View
5,5,Sreenivasappa B N,"22,047",2.4%,Independent, AC View
6,6,Srinivasa,"7,202",0.8%,Independent, AC View
7,7,Ravi Kumar M,"4,693",0.5%,Independent, AC View
8,8,Suresha N,"4,656",0.5%,Kannada Nadu Party, AC View
