x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rupchand Murmu,"509,045",64.2%,Communist Party Of India (MARXIST), AC View
2,2,Nityananda Hembram,"157,702",19.9%,All India Trinamool Congress, AC View
3,3,Khagendra Nath Hembrom,"57,650",7.3%,Jharkhand Party (NOREN), AC View
4,4,Mongal Soren,"37,921",4.8%,Jharkhand Mukti Morcha, AC View
5,5,Surja Mandi,"13,338",1.7%,Independent, AC View
6,6,Masang Hemram,"10,223",1.3%,Independent, AC View
7,7,Leba Chand Tudu,"9,433",1.2%,Independent, AC View
