x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,M. P. Veerendra Kumar,"340,111",43.6%,Janata Dal (Secular), AC View
2,2,Adv V Balaram,"274,785",35.3%,Indian National Congress, AC View
3,3,M T Ramesh,"97,889",12.6%,Bharatiya Janta Party, AC View
4,4,A C Varkey,"34,005",4.4%,Independent, AC View
5,5,K Veerendra Kumar,"7,162",0.9%,Independent, AC View
6,6,Dr D Surendranath,"6,306",0.8%,Independent, AC View
7,7,K Arunkumar,"4,490",0.6%,Independent, AC View
8,8,P Bharathan,"4,014",0.5%,Bahujan Samaj Party, AC View
9,9,K Balaram,"3,173",0.4%,Independent, AC View
10,10,Babu Karimpady,"2,539",0.3%,Independent, AC View
11,11,T K Chandramathi,"2,302",0.3%,Independent, AC View
12,12,M P Shanthivarma Jain,"2,223",0.3%,Independent, AC View
13,13,A V K Moosad,"2,185",0.3%,Independent, AC View
