x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Alemao Churchil Braz,"164,432",55.3%,Indian National Congress, AC View
2,2,Angle Ramakant Soiru,"113,908",38.3%,Bharatiya Janta Party, AC View
3,3,Auda Viegas,"5,881",2.0%,United Goans Democratic Party, AC View
4,4,Raju Mangeshkar,"4,038",1.4%,Communist Party Of India, AC View
5,5,Fernandes Edwin,"2,774",0.9%,Independent, AC View
6,6,Prabhu Vishnu Gopal,"2,217",0.7%,Shiv Sena, AC View
7,7,Dias Jawahar Emerciano,"2,207",0.7%,Maharashtrawadi Gomantak, AC View
8,8,Coelho Migel Piedade,"1,397",0.5%,Independent, AC View
9,9,Alexy Fernandes,824,0.3%,Independent, AC View
