x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kishan Singh Sangwan,"233,477",31.7%,Bharatiya Janta Party, AC View
2,2,Dharam Pal Singh Malik,"225,908",30.7%,Indian National Congress, AC View
3,3,Krishna Malik,"198,866",27.0%,Indian National Lok Dal, AC View
4,4,Sugan Gupta,"37,185",5.0%,Bahujan Samaj Party, AC View
5,5,Jagbir Singh Malik,"21,126",2.9%,Independent, AC View
6,6,Shamsher,"2,926",0.4%,Independent, AC View
7,7,Sant Ram,"2,889",0.4%,Independent, AC View
8,8,Sityender,"2,055",0.3%,Independent, AC View
9,9,Basant,"1,787",0.2%,Independent, AC View
10,10,Satbir,"1,662",0.2%,Independent, AC View
11,11,Hari Parkash,"1,640",0.2%,Independent, AC View
12,12,Kirpal Singh,"1,346",0.2%,Janata Dal (Secular), AC View
13,13,Braham Singh,"1,184",0.2%,Independent, AC View
14,14,Balbir Singh,999,0.1%,Rashtriya Swabhimaan Party, AC View
15,15,Jagdish Rai Aggarwal,949,0.1%,Independent, AC View
16,16,Krishan,747,0.1%,Independent, AC View
17,17,Sube Singh,671,0.1%,Jan Chetna Party, AC View
18,18,Naveen Kumar,597,0.1%,Independent, AC View
19,19,Jai Kishan,574,0.1%,Independent, AC View
20,20,Satya Pal,531,0.1%,Lok Jan Shakti Party, AC View
