x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kanodia Maheshkumar Mithabhai,"273,970",50.9%,Bharatiya Janta Party, AC View
2,2,Rastrapal Pravin Somabhai,"250,346",46.5%,Indian National Congress, AC View
3,3,Karbatiya Ishwarbhai Lallubhai,"13,841",2.6%,Bahujan Samaj Party, AC View
