x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Subodh Kant Sahay,"284,035",40.8%,Indian National Congress, AC View
2,2,Ram Tahal Choudhary,"268,614",38.6%,Bharatiya Janta Party, AC View
3,3,Bandhu Tirky,"52,380",7.5%,Independent, AC View
4,4,Rajendra Singh Munda,"37,688",5.4%,Communist Party Of India (MARXIST), AC View
5,5,Rajesh Kumar,"11,616",1.7%,Independent, AC View
6,6,Samim Akhtar Kamal,"7,116",1.0%,Bahujan Samaj Party, AC View
7,7,Chinta Mani Mahto,"5,450",0.8%,Independent, AC View
8,8,Ali Raja Zaidi,"5,179",0.7%,Samajwadi Party, AC View
9,9,Khudi Ram Munda,"3,787",0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
10,10,Arun Tiwari,"2,947",0.4%,Independent, AC View
11,11,Sona Ram Munda,"2,326",0.3%,Independent, AC View
12,12,Sanjay Kumar Gupta,"2,256",0.3%,Independent, AC View
13,13,Raja Ram Pandit,"2,187",0.3%,National Loktantrik Party, AC View
14,14,Anjani Pandey,"2,044",0.3%,Independent, AC View
15,15,Abhay Kumar,"1,869",0.3%,Independent, AC View
16,16,Manoj Kumar,"1,790",0.3%,Samata Party, AC View
17,17,Maqubool Ahmad,"1,592",0.2%,Lok Jan Shakti Party, AC View
18,18,Mukesh Sinha,"1,449",0.2%,Jharkhand People's Party, AC View
19,19,Harihar Singh Munda,"1,429",0.2%,Independent, AC View
