x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Usha Verma,"203,445",39.0%,Samajwadi Party, AC View
2,2,Shiv Prasad Verma,"164,242",31.5%,Bahujan Samaj Party, AC View
3,3,Anita Verma,"116,473",22.3%,Bharatiya Janta Party, AC View
4,4,Chand Ram,"9,402",1.8%,Indian National Congress, AC View
5,5,Lachhiman,"7,771",1.5%,Independent, AC View
6,6,Rajendra Kumar S/o Shanker,"7,287",1.4%,Independent, AC View
7,7,Udit Raj,"6,267",1.2%,Indian Justice Party, AC View
8,8,Usha,"2,002",0.4%,Independent, AC View
9,9,Gaya Charan,"1,845",0.4%,Independent, AC View
10,10,Rajendra Kumar S/o Jalim,"1,728",0.3%,Independent, AC View
11,11,Shri Krishna,"1,641",0.3%,Rashtriya Swabhimaan Party, AC View
