x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Faggan Singh Kulaste,"238,073",40.5%,Bharatiya Janta Party, AC View
2,2,Heera Singh Markam,"173,176",29.4%,Gondvana Gantantra Party, AC View
3,3,Savitri Dhumketi,"99,898",17.0%,Indian National Congress, AC View
4,4,Inder Singh Uikey,"22,708",3.9%,Bahujan Samaj Party, AC View
5,5,Shambhu Lal Maravi,"21,239",3.6%,Independent, AC View
6,6,Barati Lal Masram,"10,677",1.8%,Independent, AC View
7,7,Manoj Gothiya,"9,467",1.6%,Samajwadi Party, AC View
8,8,Kishan Lal Karyam,"6,692",1.1%,Independent, AC View
9,9,Chambal Singh Maravi,"6,339",1.1%,Independent, AC View
