x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Hiten Barman,"490,982",51.8%,All India Forward Bloc, AC View
2,2,Girindra Nath Barman,"264,413",27.9%,All India Trinamool Congress, AC View
3,3,Sailen Barma,"116,715",12.3%,Indian National Congress, AC View
4,4,Amar Roy Pradhan,"26,755",2.8%,Independent, AC View
5,5,Bharat Singha Sarkar,"17,393",1.8%,Independent, AC View
6,6,Pradip Kumar Roy,"11,021",1.2%,Independent, AC View
7,7,Nripen Karjee,"10,682",1.1%,Independent, AC View
8,8,Dalendra Nath Roy,"8,527",0.9%,Amara Bengali, AC View
9,9,Pijush Barman,"6,075",0.6%,Samajwadi Party, AC View
