x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dushyant Singh,"303,845",53.6%,Bharatiya Janta Party, AC View
2,2,Sanjay Gurjar,"222,266",39.2%,Indian National Congress, AC View
3,3,Jakir Husen,"25,164",4.4%,Independent, AC View
4,4,Ratan Lal,"16,336",2.9%,Bahujan Samaj Party, AC View
