x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rajesh Verma,"171,733",28.8%,Bahujan Samaj Party, AC View
2,2,Mukhtar Anees,"166,499",27.9%,Samajwadi Party, AC View
3,3,Janardan Prasad Mishra,"137,822",23.1%,Bharatiya Janta Party, AC View
4,4,Raja Mohd. Amir Mohd. Khan,"68,827",11.5%,Indian National Congress, AC View
5,5,Om Prakash Srivastava Bablu,"27,881",4.7%,Apna Dal, AC View
6,6,Hareram Fauji,"6,590",1.1%,Independent, AC View
7,7,Jadunath Yadav,"2,873",0.5%,Independent, AC View
8,8,Hari Prapannacharya Mishra,"2,292",0.4%,Independent, AC View
9,9,Anuj Kumar,"2,005",0.3%,Independent, AC View
10,10,Sunit Kumar,"1,959",0.3%,Independent, AC View
11,11,Dwijendra Dutt,"1,951",0.3%,Bahujan Kisan Dal, AC View
12,12,Siyaram,"1,349",0.2%,Rashtriya Janata Dal, AC View
13,13,Kunj Bihari,"1,317",0.2%,Independent, AC View
14,14,Vinod Kumar,"1,232",0.2%,Manuvadi Party, AC View
15,15,Suresh,"1,179",0.2%,Samata Party, AC View
16,16,Kapil Kumar,"1,060",0.2%,Independent, AC View
