x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Harikeval Prasad,"195,570",29.2%,Samajwadi Party, AC View
2,2,Bhola Pandey,"179,317",26.8%,Indian National Congress, AC View
3,3,Ram Shanker Rajbhar Vidyarthi Ji,"132,013",19.7%,Bahujan Samaj Party, AC View
4,4,Rajdhari,"104,917",15.7%,Janata Dal (United), AC View
5,5,Gulag Chand Gupta,"23,220",3.5%,Suheldev Bhartiya Samaj Party, AC View
6,6,Bhola,"9,067",1.4%,Independent, AC View
7,7,Rajesh Sahani,"6,040",0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Kailash,"3,395",0.5%,Independent, AC View
9,9,Onkar Nath,"3,213",0.5%,Akhil Bharat Hindu Mahasabha, AC View
10,10,Upendra,"2,922",0.4%,Independent, AC View
11,11,Gauri Shanker Tripathi,"2,760",0.4%,Jharkhand Party, AC View
12,12,Saukat Ali,"2,182",0.3%,Apna Dal, AC View
13,13,Ram Badan Kaul,"2,114",0.3%,Ambedkar Samaj Party, AC View
14,14,Heera Lal,"1,768",0.3%,Lokpriya Samaj Party, AC View
15,15,Uttam Vihari Kushwaha,"1,125",0.2%,Independent, AC View
